"author","coauthors"
"Christine Passerieux","Catherine Saint-Georges"
"Serge Nicolas","Pascale Piolino"
"Serge Nicolas","Gaën Plancher"
"Serge Nicolas","Alessandro Guida"
"Serge Nicolas","Yannick Gounden"
"Serge Nicolas","Ludovic Ferrand"
"Serge Nicolas","Dominique Makowski"
"Serge Nicolas","Fernand Gobet"
"Serge Nicolas","Juan Segui"
"Serge Nicolas","Marco Sperduti"
"Serge Nicolas","Jeremy T. Burman"
"Serge Nicolas","Thérèse Collins"
"Serge Nicolas","Henry L. Roediger"
"Serge Nicolas","Todd Lubart"
"Serge Nicolas","Guy Tiberghien"
"Serge Nicolas","Andre Didierjean"
"Serge Nicolas","Dalibor Voboril"
"Serge Nicolas","Chrystel Besche-Richard, Full Professor"
"Serge Nicolas","Andrea Bosco"
"Serge Nicolas","Christine Passerieux"
"Serge Nicolas","Yvonnick Noel"
"Serge Nicolas","Pascale Piolino"
"Serge Nicolas","Gaën Plancher"
"Serge Nicolas","Alessandro Guida"
"Serge Nicolas","Yannick Gounden"
"Serge Nicolas","Ludovic Ferrand"
"Serge Nicolas","Dominique Makowski"
"Serge Nicolas","Fernand Gobet"
"Serge Nicolas","Juan Segui"
"Serge Nicolas","Marco Sperduti"
"Serge Nicolas","Jeremy T. Burman"
"Serge Nicolas","Thérèse Collins"
"Serge Nicolas","Henry L. Roediger"
"Serge Nicolas","Todd Lubart"
"Serge Nicolas","Guy Tiberghien"
"Serge Nicolas","Andre Didierjean"
"Serge Nicolas","Dalibor Voboril"
"Serge Nicolas","Chrystel Besche-Richard, Full Professor"
"Serge Nicolas","Andrea Bosco"
"Serge Nicolas","Christine Passerieux"
"Serge Nicolas","Yvonnick Noel"
"Serge Nicolas","Pascale Piolino"
"Serge Nicolas","Gaën Plancher"
"Serge Nicolas","Alessandro Guida"
"Serge Nicolas","Yannick Gounden"
"Serge Nicolas","Ludovic Ferrand"
"Serge Nicolas","Dominique Makowski"
"Serge Nicolas","Fernand Gobet"
"Serge Nicolas","Juan Segui"
"Serge Nicolas","Marco Sperduti"
"Serge Nicolas","Jeremy T. Burman"
"Serge Nicolas","Thérèse Collins"
"Serge Nicolas","Henry L. Roediger"
"Serge Nicolas","Todd Lubart"
"Serge Nicolas","Guy Tiberghien"
"Serge Nicolas","Andre Didierjean"
"Serge Nicolas","Dalibor Voboril"
"Serge Nicolas","Chrystel Besche-Richard, Full Professor"
"Serge Nicolas","Andrea Bosco"
"Serge Nicolas","Christine Passerieux"
"Serge Nicolas","Yvonnick Noel"
"Giovanni Lamura","Maria Gabriella Melchiorre"
"Giovanni Lamura","Francesco Barbabella"
"Giovanni Lamura","Carlos Chiatti"
"Giovanni Lamura","Andrea Principi"
"Giovanni Lamura","Roberta Papa"
"Giovanni Lamura","Elizabeth Hanson"
"Giovanni Lamura","Andrzej Klimczuk"
"Giovanni Lamura","Mariano Sánchez"
"Giovanni Lamura","Dieter Ferring"
"Giovanni Lamura","Andrea E. Schmidt"
"Giovanni Lamura","Marco Socci"
"Giovanni Lamura","Per H. Jensen"
"Giovanni Lamura","Cecilia Tomassini"
"Giovanni Lamura","Manfred Huber"
"Giovanni Lamura","Stephanie Carretero"
"Giovanni Lamura","Tine Rostgaard"
